iter	RMSE
0	0.3428605017
1	0.3292783074
2	0.3176169754
3	0.3087663438
4	0.3004020159
5	0.2933105476
6	0.286620531
7	0.2823930879
8	0.2764376222
9	0.2726317894
10	0.2696364151
11	0.2673368294
12	0.2650179987
13	0.2622079729
14	0.2595959051
15	0.2579709361
16	0.2558640683
17	0.2547708672
18	0.2539600013
19	0.2527371495
20	0.2515976848
21	0.250517424
22	0.2499412474
23	0.2490307401
24	0.2486106487
25	0.2479463104
26	0.2470527069
27	0.2467242638
28	0.2462296362
29	0.2457727953
30	0.2451805343
31	0.2445479236
32	0.2442972625
33	0.2438927383
34	0.2435436476
35	0.2433437185
36	0.2428492849
37	0.2422986183
38	0.2418957794
39	0.2414311013
40	0.2412568683
41	0.2405148612
42	0.2400089826
43	0.2397494091
44	0.2395101057
45	0.2392201644
46	0.2389830284
47	0.2387483788
48	0.2385362689
49	0.2382340473
50	0.2379318225
51	0.2376632901
52	0.2375817918
53	0.2372323211
54	0.2368832015
55	0.2367339699
56	0.2366591862
57	0.236569771
58	0.2364195779
59	0.236185504
60	0.2357990024
61	0.2356837061
62	0.2353442121
63	0.2352044055
64	0.2349882903
65	0.2346856808
66	0.234516408
67	0.2341015463
68	0.2339745222
69	0.2337024569
70	0.2335927882
71	0.2334728698
72	0.2333420883
73	0.233210494
74	0.2330209351
75	0.232889476
76	0.2327230461
77	0.2324666383
78	0.2322807624
79	0.2321841201
80	0.2320560534
81	0.2319535066
82	0.2318153007
83	0.2317015283
84	0.2315763984
85	0.2313640798
86	0.2312761505
87	0.2311385984
88	0.2310282205
89	0.2308614083
90	0.2305075894
91	0.2304381531
92	0.2303306387
93	0.2301230972
94	0.2299910177
95	0.2296518234
96	0.2293265217
97	0.2291953454
98	0.2290761311
99	0.2290252463
100	0.2288145291
101	0.2286404488
102	0.2284797081
103	0.2283691585
104	0.2282290602
105	0.2279917088
106	0.2277658609
107	0.2276536844
108	0.2275513776
109	0.2272330604
