iter	Passed	Remaining
0	146	438107
1	148	222437
2	150	150428
3	152	114439
4	154	92794
5	156	78215
6	158	67976
7	161	60267
8	163	54239
9	165	49466
10	167	45586
11	169	42257
12	171	39466
13	173	37058
14	175	34943
15	177	33107
16	179	31488
17	181	30077
18	183	28799
19	185	27644
20	187	26608
21	189	25649
22	191	24782
23	193	23982
24	195	23259
25	197	22614
26	199	21984
27	201	21419
28	203	20880
29	205	20370
30	207	19887
31	209	19451
32	211	19053
33	213	18663
34	216	18302
35	218	17948
36	219	17617
37	221	17301
38	223	16997
39	225	16711
40	227	16450
41	230	16202
42	232	15963
43	234	15727
44	236	15500
45	237	15279
46	239	15066
47	241	14866
48	244	14698
49	246	14525
50	248	14352
51	250	14186
52	252	14026
53	254	13869
54	256	13710
55	258	13564
56	260	13435
57	262	13296
58	264	13162
59	265	13026
60	267	12895
61	269	12766
62	271	12646
63	273	12524
64	275	12435
65	277	12327
66	279	12216
67	280	12115
68	282	12016
69	284	11916
70	286	11820
71	288	11725
72	290	11640
73	292	11554
74	293	11465
75	295	11379
76	297	11294
77	299	11215
78	301	11134
79	302	11057
80	305	10994
81	307	10926
82	308	10857
83	310	10787
84	312	10719
85	314	10654
86	316	10590
87	318	10525
88	320	10479
89	322	10434
90	324	10377
91	326	10317
92	328	10261
93	330	10206
94	331	10150
95	333	10095
96	335	10051
97	337	10007
98	339	9959
99	341	9909
100	343	9863
101	345	9815
102	347	9767
103	349	9722
104	351	9680
105	353	9646
106	355	9605
107	357	9563
108	359	9523
109	360	9481
